description;stopPlaceId;stopPlaceName;transportType;type;isMultiModal
Vest-Agder;NSR:StopPlace:57959;Kristiansand ferjeterminal;Ferje;;
Vest-Agder;NSR:StopPlace:22330;Henrik Wergelands gate;Buss;;
Vest-Agder;NSR:StopPlace:24025;Kjevik lufthavn;Buss;;
Vest-Agder;NSR:StopPlace:22329;Mandal v/Amfi;Buss;;
Vest-Agder;NSR:StopPlace:22366;Marnarkrysset;Buss;;
Vest-Agder;NSR:StopPlace:25080;Flekkefjord rutebilstasjon;Buss;;
Vest-Agder;NSR:StopPlace:23851;Lyngdal rutebilstasjon;Buss;;
Vest-Agder;NSR:StopPlace:21851;Rom;Buss;;
Vest-Agder;NSR:StopPlace:658;Snartemo;Tog;;
Vest-Agder;NSR:StopPlace:24266;Tonstad sentrum;Buss;;
Vest-Agder;NSR:StopPlace:24053;Kjørestad;Buss;;
Vest-Agder;NSR:StopPlace:25060;Blåmeisveien;Buss;;
Vest-Agder;NSR:StopPlace:22914;Hægeland;Buss;;
Rogaland;NSR:StopPlace:82;Egersund;Tog;;
Rogaland;NSR:StopPlace:28829;Egersund stasjon;Buss;;
Rogaland;NSR:StopPlace:28828;Egersund rutebilstasjon;Buss;;
Rogaland;NSR:StopPlace:702;Sandnes Sentrum;Tog;;
Rogaland;NSR:StopPlace:26042;Sandnes rutebilstasjon;Buss;T;
Rogaland;NSR:StopPlace:596;Stavanger;Tog;;
Rogaland;NSR:StopPlace:27235;Stavanger;Buss;T;
Rogaland;NSR:StopPlace:28229;Fiskepirterminalen;Båt;;M
Rogaland;NSR:StopPlace:27243;Stavanger lufthavn;Buss;T;
Rogaland;NSR:StopPlace:745;Stavanger lufthavn;Fly;;
Rogaland;NSR:StopPlace:26084;Haugesund bussterminal;Buss;T;
Rogaland;NSR:StopPlace:26090;Haugesund hurtigbåtkai;Båt;;
Rogaland;NSR:StopPlace:26093;Haugesund lufthavn;Buss;;
Rogaland;NSR:StopPlace:753;Haugesund lufthavn;Fly;;
Rogaland;NSR:StopPlace:568;Bryne;Tog;;
Rogaland;NSR:StopPlace:28647;Bryne stasjon;Buss;;
Rogaland;NSR:StopPlace:28655;Bryne sentrum;Buss;;
Rogaland;NSR:StopPlace:26937;Jørpelandsvågen kai;Båt;;M
Rogaland;NSR:StopPlace:27397;Niels Juels gate;Buss;;
Rogaland;NSR:StopPlace:26106;Sauda bussterminal;Buss;;
Rogaland;NSR:StopPlace:26895;Judaberg ferjekai;Ferje;;M
Rogaland;NSR:StopPlace:27781;Oddagaten;Buss;;
Hordaland;NSR:StopPlace:29823;Leirvik bussterminal;Buss;T;
Hordaland;NSR:StopPlace:29915;Leirvik båtkai;Båt;;
Hordaland;NSR:StopPlace:30756;Odda busstasjon;Buss;T;
Hordaland;NSR:StopPlace:440;Voss;Tog;;
Hordaland;NSR:StopPlace:31026;Voss stasjon;Buss;;
Hordaland;NSR:StopPlace:548;Bergen;Tog;;
Hordaland;NSR:StopPlace:30810;Bergen busstasjon;Buss;T;
Hordaland;NSR:StopPlace:30865;Bystasjonen;Trikk;;
Hordaland;NSR:StopPlace:30219;Strandkaiterminalen båtkai;Båt;;
Hordaland;NSR:StopPlace:58066;Fløibanen;Kabelbane;;
Hordaland;NSR:StopPlace:30853;Olav Kyrres gate;Buss;;
Hordaland;NSR:StopPlace:30815;Kleppestø terminal;Buss;;
Hordaland;NSR:StopPlace:32539;Kleppestø båtkai;Båt;;
Hordaland;NSR:StopPlace:759;Bergen lufthavn;Fly;;
Hordaland;NSR:StopPlace:5808;Bergen Lufthavn flybuss;Buss;;M
Hordaland;NSR:StopPlace:28911;Osøyro;Buss;;
Hordaland;NSR:StopPlace:33125;Mo sentrum;Buss;;
Hordaland;NSR:StopPlace:33456;Sævrøy ferjekai;Ferje;;M
Hordaland;NSR:StopPlace:29728;Sygnagaten;Buss;;
Hordaland;NSR:StopPlace:29839;Bønes senter;Buss;;
Hordaland;NSR:StopPlace:33676;Ålvik;Buss;;
Hordaland;NSR:StopPlace:29314;Lykling;Buss;;
Sogn og Fjordane;NSR:StopPlace:35169;Sogndal skysstasjon;Buss;T;
Sogn og Fjordane;NSR:StopPlace:34260;Sogndal kai;Buss;;
Sogn og Fjordane;NSR:StopPlace:34257;Sogndal kai;Båt;;
Sogn og Fjordane;NSR:StopPlace:36025;Førde rutebilstasjon;Buss;T;
Sogn og Fjordane;NSR:StopPlace:36599;Florø rutebilstasjon;Buss;;
Sogn og Fjordane;NSR:StopPlace:37066;Florø kai;Båt;;M
Sogn og Fjordane;NSR:StopPlace:37063;Florø kai;Ferje;;M
Sogn og Fjordane;NSR:StopPlace:37061;Florø kai;Buss;;M
