description;fromPlace;origin;toPlace;destination;transportType
Vestfold;NSR:StopPlace:17452;Torggata;NSR:StopPlace:18872;Høyjord;Buss
Vestfold;NSR:StopPlace:19031;Andebu sentrum;NSR:StopPlace:19483;Fjellvikbakken;Buss
Vestfold;NSR:StopPlace:17465;Ranvik;NSR:StopPlace:18990;Kamfjordkilen;Buss
Vestfold;NSR:StopPlace:17566;Trudvangveien;NSR:StopPlace:18999;Almeveien;Buss
Vestfold;NSR:StopPlace:653;Tønsberg;NSR:StopPlace:19363;Gloppeskogen;Buss+Tog
Vestfold;NSR:StopPlace:18011;Helgeroa;NSR:StopPlace:18617;Kvelde sentrum;Buss
Vestfold;NSR:StopPlace:58122;Tangen brygge;NSR:StopPlace:17693;Tønsberg rutebilstasjon;Buss+Båt
Vestfold;NSR:StopPlace:17486;Revetal;NSR:StopPlace:17660;Gullhaug;Buss
Telemark;NSR:StopPlace:20649;Langesund torv;NSR:StopPlace:19570;Rauland Krossen;Buss+Tog
Telemark;NSR:StopPlace:21337;Smihaugvegen;NSR:StopPlace:20826;Bjørndalen;Buss
Telemark;NSR:StopPlace:20257;Meieritorvet;NSR:StopPlace:19979;Skien sykehjem;Buss
Telemark;NSR:StopPlace:20443;Gjerpen kirke;NSR:StopPlace:1;Drangedal;Buss+Tog
Telemark;NSR:StopPlace:20259;Holtesletta;NSR:StopPlace:590;Bø;Buss+Tog
Telemark;NSR:StopPlace:21199;Ulefoss Senter;NSR:StopPlace:21570;Vrådal sentrum;Buss
Telemark;NSR:StopPlace:20557;Kviteseid sentrum;NSR:StopPlace:21388;Tinnoset;Buss
Telemark;NSR:StopPlace:20609;Austbygde;NSR:StopPlace:19570;Rauland Krossen;Buss
Telemark;NSR:StopPlace:20550;Arabygdi;NSR:StopPlace:20485;Kragerø rutebilstasjon;Buss
Telemark;NSR:StopPlace:21545;Vestheia;NSR:StopPlace:20849;Jomfruland Tårnbrygga;Buss+Båt
Aust-Agder;NSR:StopPlace:296;Gjerstad;NSR:StopPlace:25350;Buvikbakken;Buss
Aust-Agder;NSR:StopPlace:21829;Risør rutebilstasjon;NSR:StopPlace:22041;Valle;Buss
Aust-Agder;NSR:StopPlace:58375;Gjeving brygge;NSR:StopPlace:24632;Arendal stasjon;Buss
Aust-Agder;NSR:StopPlace:21979;Hastensund;NSR:StopPlace:24171;Kolbjørnsvik;Buss
Aust-Agder;NSR:StopPlace:22201;Heidalen;NSR:StopPlace:250;Nelaug;Buss+Tog
Aust-Agder;NSR:StopPlace:25611;Grimstad Odden;NSR:StopPlace:250;Nelaug;Buss+Tog
Aust-Agder;NSR:StopPlace:24891;Fevik nedre;NSR:StopPlace:24883;Birkeland Tomta;Buss
Aust-Agder;NSR:StopPlace:22997;Høvågkrysset;NSR:StopPlace:24581;Eikeveien;Buss
