description;fromPlace;origin;toPlace;destination;transportType;blacklistedDays;raptorRange;raptorDays;raptorProfile
Akershus;NSR:StopPlace:344;Jessheim;NSR:StopPlace:6497;Årnes stasjon;Buss,Tog;;240;2;multiCriteria
Akershus;NSR:StopPlace:4489;Lillestrøm terminal;NSR:StopPlace:4663;Nittedal stasjon;Buss,Tog;;240;2;multiCriteria
Akershus;NSR:StopPlace:4698;Slattum;NSR:StopPlace:4892;Ask terminal;Buss;;240;2;multiCriteria
Akershus;NSR:StopPlace:5576;Drøbak torg;NSR:StopPlace:58368;Nesoddtangen;Buss;;240;2;multiCriteria
Oslo;NSR:StopPlace:6740;Prinsdal;NSR:StopPlace:6626;Solemskogen;Buss,Trikk;;240;1;multiCriteria
Oslo;NSR:StopPlace:58228;Mortensrud;NSR:StopPlace:58213;Haugerud;T-bane;;240;1;multiCriteria
Oslo;NSR:StopPlace:5891;Langerud sykehjem;NSR:StopPlace:5994;Oppsal;Buss,T-bane;;240;1;multiCriteria
Oslo;NSR:StopPlace:58248;Ryen;NSR:StopPlace:6630;Malmøya;Buss,T-bane;;240;1;multiCriteria
Oslo;NSR:StopPlace:6165;Tveita T;NSR:StopPlace:4277;Inkognitogata;T-bane,Trikk;;240;1;multiCriteria
Oslo;NSR:StopPlace:58258;Olaf Ryes plass;NSR:StopPlace:6288;Alexander Kiellands plass;Buss,Trikk;;240;1;multiCriteria
Oslo;NSR:StopPlace:5999;Årvoll senter;NSR:StopPlace:4375;Bygdøhus;Buss;;240;1;multiCriteria
Oslo;NSR:StopPlace:6056;Gladengveien;NSR:StopPlace:4411;Hovedøya;Buss,Båt;;240;1;multiCriteria
Oslo;NSR:StopPlace:58216;Grorud;NSR:StopPlace:58220;Ellingsrudåsen;Buss,T-bane;;240;1;multiCriteria
Oslo;NSR:StopPlace:530;Kjelsås;NSR:StopPlace:6298;Vettakollen;Buss,T-bane;;240;1;multiCriteria
Hedmark;NSR:StopPlace:8846;Skotterud sentrum;NSR:StopPlace:10510;Kløverbakken;Buss;;240;2;multiCriteria
Hedmark;NSR:StopPlace:635;Kongsvinger;NSR:StopPlace:8000;Folldal rutebilstasjon;Buss,Tog;;240;2;multiCriteria
Hedmark;NSR:StopPlace:9836;Roverud;NSR:StopPlace:10643;Storhamarsenteret;Buss,Tog;;240;2;multiCriteria
Hedmark;NSR:StopPlace:9601;Solvangvegen;NSR:StopPlace:10700;Øvre Heggelia;Buss;;240;2;multiCriteria
Hedmark;NSR:StopPlace:10580;CC Hamar;NSR:StopPlace:6971;Bringebærvegen;Buss;2;240;2;multiCriteria
Hedmark;NSR:StopPlace:169;Løten;NSR:StopPlace:7334;Nybergsund;Buss;;240;2;multiCriteria
Hedmark;NSR:StopPlace:8952;Osen sentrum;NSR:StopPlace:8674;Drevsjø;Buss;6,7;240;2;multiCriteria
Hedmark;NSR:StopPlace:8674;Drevsjø;NSR:StopPlace:8189;Dalsbygda sentrum;Buss;6;240;2;multiCriteria
Hedmark;NSR:StopPlace:580;Koppang;NSR:StopPlace:7479;Kvikne Coop-marked;Buss,Tog;6;240;2;multiCriteria
Hedmark;NSR:StopPlace:8544;Åkrestrømmen;NSR:StopPlace:542;Brumunddal;Buss,Tog;;240;2;multiCriteria
Oppland;NSR:StopPlace:13675;Kolbu sentrum;NSR:StopPlace:13072;Nordlia;Buss;;240;2;multiCriteria
Oppland;NSR:StopPlace:15;Raufoss;NSR:StopPlace:10962;Jevnaker stasjon;Buss;6;240;2;multiCriteria
Oppland;NSR:StopPlace:12510;Bagn;NSR:StopPlace:11881;Lom;Buss,Tog;;240;2;multiCriteria
Oppland;NSR:StopPlace:11189;Fagernes skysstasjon;NSR:StopPlace:645;Dombås;Buss,Tog;;240;2;multiCriteria
Oppland;NSR:StopPlace:14093;Steinvegen;NSR:StopPlace:14320;Holsjordet;Buss;;240;2;multiCriteria
Oppland;NSR:StopPlace:13737;Pinnikvegen;NSR:StopPlace:14488;Fredheim;Buss;;240;2;multiCriteria
Oppland;NSR:StopPlace:46;Roa;NSR:StopPlace:645;Dombås;Buss,Tog;;240;2;multiCriteria
Oppland;NSR:StopPlace:12943;Etnedal rutebilstasjon;NSR:StopPlace:17;Ringebu;Buss,Tog;2;240;2;multiCriteria
Oppland;NSR:StopPlace:12813;Segalstad bru;NSR:StopPlace:11951;Beitostølen;Buss;;240;2;multiCriteria
Oppland;NSR:StopPlace:14590;Bismo;NSR:StopPlace:12192;Randsverk;Buss;6,7;240;2;multiCriteria
Buskerud;NSR:StopPlace:14948;Toern;NSR:StopPlace:15801;Rødberg;Buss,Tog;;240;2;multiCriteria
Buskerud;NSR:StopPlace:17025;Jutulveien;NSR:StopPlace:17329;Underlia snuplass;Buss;;240;2;multiCriteria
Buskerud;NSR:StopPlace:17295;Sørensvingen;NSR:StopPlace:17220;Gulskogen Senter;Buss;;240;2;multiCriteria
Buskerud;NSR:StopPlace:17095;Tranby;NSR:StopPlace:16032;Prestfoss herredshus;Buss;2;240;2;multiCriteria
Buskerud;NSR:StopPlace:17381;Riegelsbakken;NSR:StopPlace:15451;Lampeland;Buss;;240;2;multiCriteria
Buskerud;NSR:StopPlace:245;Hokksund stasjon;NSR:StopPlace:15726;Fossekallveien;Buss,Tog;;240;2;multiCriteria
Buskerud;NSR:StopPlace:15534;Elsrud;NSR:StopPlace:17342;Strøtvet snuplass;Buss;6,7;240;2;multiCriteria
Buskerud;NSR:StopPlace:318;Geilo stasjon;NSR:StopPlace:16043;Leveld posthus;Buss,Tog;2;240;2;multiCriteria
